title,job_category,job_family,uw_job_codes_2017,uw_ees_2017,uw_market_50th_tcc_2017,uw_job_codes_2019,uw_ees_2019,uw_market_50th_tcc_2019
Academic Counselor,Counseling/Student Services,C,1347,35,-1.2%,11347,39,-3.1%
Academic Counselor – Lead,Counseling/Student Services,C,"1349, 1350",27,0.0%,"11349, 11350",27,2.8%
Administrative Assistant,Manager/Strategic Advisor,M,"9806, 1176, 1926,
9514, 9552, 9556,
1386, 9586, 1315,
9626, 1336",20,-6.1%,"19806, 11176, 11926, 19514, 11315, 19552, 19556, 11386, 19586, 19626, 11336",21,6.4%
Administrator (Large Organization),Manager/Strategic Advisor,M,"1250, 1300, 1500",82,3.0%,"11250, 11300, 11500",80,-2.1%
Administrator (Small Organization),Manager/Strategic Advisor,M,"1248, 1298, 1503",77,2.9%,"11248, 11298, 11503",72,-6.7%
Assistant Research Scientist/Research Engineer,Research,R,9691,64,-20.1%,19691,72,-23.3%
Associate Research Scientist/Research Engineer,Research,R,"9693, 1493",359,-28.8%,"19693, 11493",382,-34.0%
Auditor,Manager/Strategic Advisor,M,1556,11,9.8%,11556,11,11.9%
Budget Analyst,Manager/Strategic Advisor,M,1532,9,-1.9%,11532,6,0.0%
Business System Analyst,Information Technology,T,1681,37,10.7%,11681,44,7.7%
Chief Clinical Dietician,Health Care,H,1595,4,19.9%,,,
Clinic Manager,Health Care,H,1590,62,17.1%,11590,50,4.7%
Clinical Nurse Specialist Educator,Health Care,H,1200,40,12.2%,11200,44,8.5%
Compliance Analyst,Manager/Strategic Advisor,M,1799,57,7.2%,11799,53,1.6%
Construction Project Manager,Manager/Strategic Advisor,M,1070,25,2.4%,11070,13,7.5%
Counseling Services Coordinator,Counseling/Student Services,C,"1377, 9617",169,-13.4%,"11377, 19617",185,-4.9%
Department IT Manager,Information Technology,T,1735,36,-9.1%,11735,34,-10.1%
Development Officer,Development,D,1629,9,-9.3%,11629,11,-16.3%
Diagnostic Imaging Administrative Director,Health Care,H,"1183, 1251",1,21.8%,11111,2,11.6%
"Director, IT (Large Organization)",Information Technology,T,1745,13,-3.8%,11745,18,-9.6%
Education Outreach – Program Manager,Counseling/Student Services,C,1209,52,3.0%,11209,57,9.8%
Education Outreach Specialist (Entry),Counseling/Student Services,C,"1207, 1967, 9837",74,0.6%,"11207, 11967, 19837",78,3.4%
